0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205
2450,h,1,"[1,0,1,-1251,639398]",0,1,-1,-2,0,0,3,5,6,1,-3,-6,4,-11,-3,10,3,-3,0,4,4,12,-4,-10,-12,-6,14,12,-4,12,-4,-12,19,-3,-12,4,18,14,5,4,9,3,-3,-2,12,4,3,4,-1,8,-24,28,6,6,25,15,-12,0,12,16,-2,-3,26,-27,2,-12,8,-18,-7,-14,-24,10,12,6,-1,34,-25,15,-24,2,21,22,-15,-34,0,-16,10,24,-3,22,-6,19,-18,-24,16,-12,-28,24,-6,-33,20,8,28,27,-18,-3,20,20,12,-36,42,-2,-19,-47,6,1,32,-45,38,-21,-21,24,-44,34,-3,12,-32,18,14,36,29,47,-37,-9,26,-26,51,49,39,-34,-30,39,-47,-18,-44,54,-14,6,-1,-18,-32,-39,7,-33,-8,24,10,-30,38,-33,2,-24,-30,12,-32,-27,30,57,20,14,47,63,-36,40,-36,-14,4,6,-1,-30,41,-8,-35,45,13,-54,33,-30,-5,26,41,48,-64,-6,-55,0,18,-54,17,10,12,48
7730,k,1,"[1,0,0,-1960,-31400]",1,1,1,1,1,0,2,-7,-7,3,6,-1,-10,2,-4,-1,-3,5,-5,10,-8,0,4,-13,0,-4,2,-11,-7,1,10,-9,7,15,-18,18,-14,-20,14,-10,-24,2,24,-12,-15,7,0,-8,0,-20,-20,10,-27,14,11,0,9,12,6,4,6,22,10,2,-29,14,29,15,8,8,27,22,-14,13,14,32,4,-25,12,-1,17,-7,29,-17,40,-2,7,4,-15,-10,-33,-24,-33,-24,-35,-36,23,-18,-20,-42,-2,-38,-29,-2,26,-6,0,11,-12,-32,4,-18,18,-6,6,-8,-11,16,-28,-33,39,13,18,-23,40,30,10,30,22,-4,8,24,-7,36,2,46,28,5,-1,-18,-12,-9,14,5,16,-36,34,-33,-11,-51,40,-43,-32,-30,44,-18,28,8,-16,54,-36,3,-43,-24,6,0,6,27,19,50,20,-46,-20,-30,30,-41,32,-49,-19,-21,16,-11,-10,32,-13,-35,34,28,-34,-46,-50,36,-39,24,8,-28,24,42,14,60,-48,26
4634,a,1,"[1,0,1,-214,-1356]",1,2,-1,-2,4,-1,4,-6,2,-4,0,2,-10,10,-8,4,-12,-2,-6,-6,12,-4,-4,-4,4,-6,8,-10,-14,-12,2,2,-12,-8,6,4,6,-16,8,20,22,24,-12,2,4,14,-2,8,-16,-26,6,26,-10,-20,-26,-30,-8,-8,-16,14,-26,-6,4,4,-30,24,-6,-2,-1,-22,-12,-18,2,24,-30,18,-32,-24,34,-22,30,4,20,38,-36,34,-12,0,-18,-34,12,16,-6,16,24,-36,-28,26,-14,-12,34,2,4,2,-24,-6,-40,-32,-12,-16,-16,-10,30,22,-2,26,40,-34,26,-46,18,-36,14,-50,34,-36,-10,50,-6,32,-8,16,4,-36,52,-30,-20,4,-24,32,-6,-22,48,10,-24,12,24,14,-12,-22,28,-24,-14,-42,-8,54,12,-40,-32,-12,4,4,-60,6,16,30,-18,-6,52,0,50,0,12,50,-16,-26,-14,30,-28,10,-10,28,-28,14,26,14,40,18,-26,-28,-50,8,36,-20,28,-42,60,24,38,66,42,18
4800,cl,2,"[0,1,0,-3393,74943]",0,2,0,1,0,2,2,6,-2,0,-4,0,8,2,2,4,-8,6,10,-2,8,-12,4,0,4,-10,8,8,-14,-12,-10,-6,2,-18,18,-20,20,8,22,-16,12,-14,10,-2,-12,4,22,0,12,26,28,10,14,-20,22,-18,18,-4,0,8,2,-18,-16,6,-12,-12,4,2,-8,28,-12,-10,14,0,2,6,20,16,-20,2,22,-10,-10,-22,-32,4,0,-36,30,-32,-12,6,-12,-20,-18,-18,0,-24,0,22,-16,38,28,-18,44,-10,-8,-32,-12,-6,0,2,22,26,-2,20,-32,2,24,-48,26,-50,-2,-36,2,4,-8,-32,-30,40,-18,-14,40,-24,-32,2,-18,-30,-54,-32,2,-30,52,8,6,28,30,-40,-14,-42,20,36,22,-18,24,12,-12,48,0,30,8,28,-12,-46,-38,-18,-42,16,8,-18,-10,-54,-30,18,-32,44,-40,30,-28,-12,-34,10,62,22,-14,18,16,60,-58,-16,50,-52,-36,4,52,-12,-12,-6,-18,6,18,16
9078,d,1,"[1,0,1,-332,650]",1,2,-1,1,-2,2,-4,4,1,2,-2,-6,-6,6,8,6,-8,-2,-6,-2,12,0,2,-16,-6,-1,-10,0,-4,12,-14,0,-8,20,-14,12,0,-4,14,-4,12,-14,-16,-18,-4,12,-2,16,4,8,4,-20,6,-24,-4,-20,-18,24,-26,-16,10,-26,4,12,20,-4,-20,30,-24,-8,4,-16,34,8,-8,-6,-24,0,8,-18,6,-10,-12,-40,18,6,-14,-24,18,14,-30,8,-36,36,40,22,-44,-34,2,4,16,-18,12,36,-2,-22,-32,-34,8,-42,24,26,8,14,-16,-4,0,14,12,-12,-30,-12,-40,30,-18,-8,-52,-18,34,2,-12,-2,-30,10,48,-30,-34,50,-12,4,-50,34,12,2,-8,24,12,-6,26,-12,-14,20,42,42,-54,22,28,-28,-16,34,38,6,-36,-6,-12,36,2,-28,-22,-6,4,-14,-8,-50,10,46,48,-60,-12,-34,-8,-14,-20,48,26,30,12,-28,-2,32,-48,-66,6,36,-42,0,-12,26,58,-18,52,-24
9030,g,1,"[1,1,0,-367,2149]",0,2,-1,-1,1,1,-4,2,6,4,0,6,4,-6,10,1,8,6,0,-2,-12,-12,-6,-8,12,-6,6,6,0,4,-2,6,-8,12,-2,-8,-10,4,-2,-4,0,26,0,14,-20,2,6,-8,0,8,20,6,-10,24,18,-16,-14,0,14,-12,26,-22,4,10,4,12,-6,-10,0,2,-12,-2,6,8,-24,-22,12,-32,-26,26,-30,26,-4,22,-16,-38,-36,12,10,-2,14,16,28,-36,0,8,-24,24,22,26,44,14,28,38,-4,-6,-16,42,12,26,0,42,16,38,18,-40,-12,-30,-20,48,-38,44,-10,22,30,-20,20,14,6,28,-8,-10,16,24,-52,-22,-6,-6,-18,-4,42,-6,4,-26,24,12,-50,-16,34,46,44,48,14,-14,36,-8,-12,-36,8,-14,-30,-2,36,46,40,-24,26,24,-12,-34,10,-22,-24,14,20,-38,-24,-6,56,-10,8,14,24,-48,34,42,-24,-42,-14,-4,26,24,-50,-4,12,30,-12,-6,-46,46,-42,-48
1950,k,1,"[1,0,1,49,1298]",1,1,-1,1,0,1,-3,-1,1,-8,-4,-7,1,-4,-6,12,-3,-5,-9,5,11,8,0,-8,-7,-8,-6,1,14,18,2,2,-12,-10,-12,-14,10,13,15,4,-20,5,10,1,-10,-6,-6,-26,12,-24,3,14,-26,3,-10,18,7,-30,1,1,18,-18,14,-6,12,18,-3,-20,28,-13,14,-28,-14,-15,28,-13,11,32,34,-26,-28,-2,6,-12,12,10,-8,12,36,6,26,11,-24,23,25,18,25,22,34,38,2,-8,6,6,36,3,-36,14,39,-34,-26,-35,22,34,34,-28,-12,-27,-20,-24,21,0,-46,43,-22,-27,-43,15,38,-26,-14,-28,-47,29,28,-43,-36,8,46,-7,11,-26,-47,-52,4,-3,47,16,-8,-10,-24,9,0,-21,-48,56,-8,28,-14,-34,-21,-60,-47,-57,-7,42,-52,11,-8,17,-20,33,-12,20,46,20,46,-15,-55,10,6,-9,-32,-56,30,-12,49,-42,-43,13,36,-5,-2,21,-40,-52,26,-13,-28,53,6,22
3940,a,1,"[0,-1,0,-6,1]",2,1,0,-1,-1,-4,-6,1,-2,1,-4,-10,-8,-8,3,-6,-8,4,11,-5,-9,-6,-9,-14,-4,12,12,9,15,2,-11,15,10,2,-12,-4,2,-22,2,-4,5,20,6,-13,-25,2,-1,2,-24,16,-12,-16,-4,-9,-28,5,-6,-15,20,20,26,-30,-23,-26,21,0,10,31,-25,30,8,-14,-6,-14,27,-37,5,8,6,6,6,-10,-9,-10,-5,6,-22,-18,21,-22,10,-9,33,-39,-32,-4,9,-12,34,-37,-16,-36,39,-30,20,39,-18,13,-8,-27,-14,43,-16,20,-14,-15,-32,-40,-37,-8,4,46,30,-27,-41,-36,20,-6,10,-28,28,0,8,0,-35,-53,-36,53,-34,-32,54,0,43,10,-45,18,-17,3,-40,5,-44,24,31,2,24,-24,-5,-56,-14,20,-37,16,-36,33,-8,28,-3,-37,-13,-39,-1,4,20,30,4,-47,-4,39,38,-41,15,-28,7,-4,-13,38,27,24,18,-30,-13,62,-8,24,-22,53,33,-39,-13,-7,17,-6
5208,i,1,"[0,-1,0,-499280,-290736372]",1,1,0,-1,1,-1,3,-1,1,3,-6,-6,1,-6,-2,-2,3,-6,2,7,-9,9,-2,11,-1,-6,-17,-6,8,-6,14,4,0,0,-18,-14,15,17,4,-11,-8,-21,-7,-22,-8,7,12,-27,20,7,-6,-29,-4,28,-10,-20,-24,26,22,-15,5,0,25,30,4,-19,-8,-3,-32,-18,-25,-20,3,13,-3,-18,-5,-12,10,8,25,-36,22,36,8,-4,-32,12,21,-28,-14,7,-12,-7,-29,20,-4,-21,26,-2,16,4,8,16,14,-42,2,-15,3,-16,-21,20,10,29,40,-16,-16,-25,0,24,23,-14,-8,-26,-12,-6,37,7,-17,14,40,-44,26,-24,-44,-46,-9,26,-18,12,42,31,-16,-10,-39,13,30,16,8,-16,6,-18,-50,33,42,0,5,44,-24,50,-5,20,-3,-33,15,34,6,60,40,-28,20,48,12,35,57,30,2,15,-1,-10,38,18,-20,-43,58,57,31,-60,28,41,8,-40,-58,54,42,12,0,-21,26,-40,44,-25
2986,b,1,"[1,0,0,-17,169]",2,1,1,-2,-3,-4,-4,-2,-2,-8,-7,3,2,-3,2,-13,2,-10,4,-3,1,-6,16,8,-16,1,-4,-4,-5,-3,-6,-2,-17,13,2,-10,1,5,19,1,18,6,-13,8,-18,-22,-10,0,8,-19,0,-23,-6,0,11,-6,-23,30,16,-2,-30,-12,-15,9,-14,6,-13,-24,-35,-6,7,-31,-10,-20,-4,10,2,-14,30,-18,-5,7,9,32,-32,30,-34,39,6,38,-32,-19,19,36,2,-15,-32,-19,21,-22,-22,34,20,4,-24,39,-22,-2,-32,14,39,8,-23,-36,3,-7,-11,18,-1,-1,-27,32,-19,2,0,-27,2,-40,28,24,23,-36,-14,-27,-31,-14,3,-41,38,-16,-19,-17,-17,54,34,-33,22,48,50,50,-6,-34,-28,-48,-48,0,-37,56,36,2,50,26,30,23,37,-19,-30,38,44,-18,11,30,2,-8,29,6,17,26,-50,26,-46,14,48,-9,-44,-48,20,4,59,-22,0,39,31,-36,15,-55,-36,-38,8,-62,3,0
